era,baseline_version,version,channel,total_files,root_files,jobSH_files,log_files,other_files,hist_dir
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v2FRMeasureCheckMC_v2,unknown,399,95,99,190,15,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v2FRMeasureCheckMC_v2
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v2FRMeasureCheckMC,unknown,399,95,99,190,15,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v2FRMeasureCheckMC
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v2FRMeasureCheckMCBin3,unknown,399,95,99,190,15,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v2FRMeasureCheckMCBin3
2017,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0lV16,1tau0l,399,68,78,136,117,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0lV16
2018,v0baselineHardro_v86HadroPreSelWithTTWTTZNLO,v2BDT1tau0lBinC,1tau0l,398,82,0,164,152,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHardro_v86HadroPreSelWithTTWTTZNLO/mc/variableHists_v2BDT1tau0lBinC
2017,v0baselineHadro_v94HadroPreJetVetoHemOnly,v0BDT1tau1l,1tau1l,398,68,78,136,116,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v0baselineHadro_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1l
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v0DataMC_sysV2,unknown,395,88,92,176,39,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v0DataMC_sysV2
2017,v0baselineHardro_v88PSWeightFixedHadroPre,v0dataMC_allCorrection,unknown,395,81,91,162,61,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v0baselineHardro_v88PSWeightFixedHadroPre/mc/variableHists_v0dataMC_allCorrection
2017,v0baselineHardro_v88PSWeightFixedHadroPre,v1dataMC_allbutHLT,unknown,395,81,91,162,61,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v0baselineHardro_v88PSWeightFixedHadroPre/mc/variableHists_v1dataMC_allbutHLT
2017,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau1lV16,1tau1l,395,68,78,136,113,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lV16
2017,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0l,1tau0l,394,68,78,136,112,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0l
2016preVFP,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0lV16,1tau0l,394,68,74,136,116,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0lV16
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v0BDT1tau0lFakeTauPtMorphedV2,1tau0l,393,94,98,188,13,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v0BDT1tau0lFakeTauPtMorphedV2
